92 <- #Model:106, #Native structure:93
1/92: T1024-D1
T1024-D1 tmscore=0.986
T1024-D1 length=193
T1024-D1 gdt=0.992
2/92: T1024-D2
T1024-D2 tmscore=0.989
T1024-D2 length=204
T1024-D2 gdt=0.991
3/92: T1025-D1
T1025-D1 tmscore=0.965
T1025-D1 length=257
T1025-D1 gdt=0.916
4/92: T1026-D1
T1026-D1 tmscore=0.971
T1026-D1 length=146
T1026-D1 gdt=0.964
5/92: T1027-D1
T1027-D1 tmscore=0.344
T1027-D1 length=99
T1027-D1 gdt=0.316
6/92: T1028-D1
T1028-D1 tmscore=0.687
T1028-D1 length=292
T1028-D1 gdt=0.545
7/92: T1029-D1
T1029-D1 tmscore=0.946
T1029-D1 length=125
T1029-D1 gdt=0.942
8/92: T1030-D1
T1030-D1 tmscore=0.887
T1030-D1 length=154
T1030-D1 gdt=0.831
9/92: T1030-D2
T1030-D2 tmscore=0.884
T1030-D2 length=119
T1030-D2 gdt=0.855
10/92: T1031-D1
T1031-D1 tmscore=0.934
T1031-D1 length=95
T1031-D1 gdt=0.924
11/92: T1032-D1
T1032-D1 tmscore=0.974
T1032-D1 length=170
T1032-D1 gdt=0.968
12/92: T1033-D1
T1033-D1 tmscore=0.909
T1033-D1 length=100
T1033-D1 gdt=0.92
13/92: T1034-D1
T1034-D1 tmscore=0.986
T1034-D1 length=156
T1034-D1 gdt=0.987
14/92: T1035-D1
T1035-D1 tmscore=0.892
T1035-D1 length=102
T1035-D1 gdt=0.868
15/92: T1036s1-D1
T1036s1-D1 tmscore=0.29
T1036s1-D1 length=621
T1036s1-D1 gdt=0.148
16/92: T1037-D1
T1037-D1 tmscore=0.364
T1037-D1 length=404
T1037-D1 gdt=0.213
17/92: T1038-D1
T1038-D1 tmscore=0.901
T1038-D1 length=114
T1038-D1 gdt=0.862
18/92: T1038-D2
T1038-D2 tmscore=0.8
T1038-D2 length=76
T1038-D2 gdt=0.789
19/92: T1039-D1
T1039-D1 tmscore=0.88
T1039-D1 length=161
T1039-D1 gdt=0.801
20/92: T1040-D1
T1040-D1 tmscore=0.419
T1040-D1 length=130
T1040-D1 gdt=0.346
21/92: T1041-D1
T1041-D1 tmscore=0.972
T1041-D1 length=242
T1041-D1 gdt=0.926
22/92: T1042-D1
T1042-D1 tmscore=0.71
T1042-D1 length=276
T1042-D1 gdt=0.596
23/92: T1043-D1
T1043-D1 tmscore=0.93
T1043-D1 length=148
T1043-D1 gdt=0.89
24/92: T1045s1-D1
T1045s1-D1 tmscore=0.938
T1045s1-D1 length=154
T1045s1-D1 gdt=0.903
25/92: T1045s2-D1
T1045s2-D1 tmscore=0.734
T1045s2-D1 length=166
T1045s2-D1 gdt=0.628
26/92: T1046s1-D1
T1046s1-D1 tmscore=0.439
T1046s1-D1 length=72
T1046s1-D1 gdt=0.469
27/92: T1046s2-D1
T1046s2-D1 tmscore=0.978
T1046s2-D1 length=140
T1046s2-D1 gdt=0.984
28/92: T1047s1-D1
T1047s1-D1 tmscore=0.365
T1047s1-D1 length=211
T1047s1-D1 gdt=0.3
29/92: T1047s2-D1
T1047s2-D1 tmscore=0.212
T1047s2-D1 length=147
T1047s2-D1 gdt=0.159
30/92: T1047s2-D2
T1047s2-D2 tmscore=0.573
T1047s2-D2 length=83
T1047s2-D2 gdt=0.602
31/92: T1047s2-D3
T1047s2-D3 tmscore=0.164
T1047s2-D3 length=116
T1047s2-D3 gdt=0.172
32/92: T1049-D1
T1049-D1 tmscore=0.929
T1049-D1 length=134
T1049-D1 gdt=0.91
33/92: T1050-D1
T1050-D1 tmscore=0.663
T1050-D1 length=321
T1050-D1 gdt=0.463
34/92: T1050-D2
T1050-D2 tmscore=0.755
T1050-D2 length=316
T1050-D2 gdt=0.637
35/92: T1050-D3
T1050-D3 tmscore=0.746
T1050-D3 length=128
T1050-D3 gdt=0.672
36/92: T1052-D1
T1052-D1 tmscore=0.426
T1052-D1 length=539
T1052-D1 gdt=0.288
37/92: T1052-D2
T1052-D2 tmscore=0.718
T1052-D2 length=213
T1052-D2 gdt=0.558
38/92: T1052-D3
T1052-D3 tmscore=0.641
T1052-D3 length=80
T1052-D3 gdt=0.641
39/92: T1053-D1
T1053-D1 tmscore=0.18
T1053-D1 length=405
T1053-D1 gdt=0.052
40/92: T1053-D2
T1053-D2 tmscore=0.462
T1053-D2 length=171
T1053-D2 gdt=0.373
41/92: T1054-D1
T1054-D1 tmscore=0.455
T1054-D1 length=143
T1054-D1 gdt=0.411
42/92: T1055-D1
T1055-D1 tmscore=0.388
T1055-D1 length=122
T1055-D1 gdt=0.346
43/92: T1056-D1
T1056-D1 tmscore=0.609
T1056-D1 length=169
T1056-D1 gdt=0.519
44/92: T1057-D1
T1057-D1 tmscore=0.857
T1057-D1 length=246
T1057-D1 gdt=0.743
45/92: T1058-D1
T1058-D1 tmscore=0.29
T1058-D1 length=221
T1058-D1 gdt=0.205
46/92: T1058-D2
T1058-D2 tmscore=0.409
T1058-D2 length=161
T1058-D2 gdt=0.359
47/92: T1060s2-D1
T1060s2-D1 tmscore=0.396
T1060s2-D1 length=297
T1060s2-D1 gdt=0.275
48/92: T1060s3-D1
T1060s3-D1 tmscore=0.164
T1060s3-D1 length=137
T1060s3-D1 gdt=0.122
49/92: T1061-D0
T1061-D0 tmscore=0.152
T1061-D0 length=838
T1061-D0 gdt=0.016
50/92: T1061-D1
T1061-D1 tmscore=0.298
T1061-D1 length=464
T1061-D1 gdt=0.146
51/92: T1061-D2
T1061-D2 tmscore=0.303
T1061-D2 length=271
T1061-D2 gdt=0.169
52/92: T1061-D3
T1061-D3 tmscore=0.685
T1061-D3 length=103
T1061-D3 gdt=0.709
53/92: T1064-D1
T1064-D1 tmscore=0.256
T1064-D1 length=92
T1064-D1 gdt=0.253
54/92: T1065s1-D1
T1065s1-D1 tmscore=0.609
T1065s1-D1 length=119
T1065s1-D1 gdt=0.525
55/92: T1065s2-D1
T1065s2-D1 tmscore=0.839
T1065s2-D1 length=98
T1065s2-D1 gdt=0.816
56/92: T1067-D1
T1067-D1 tmscore=0.54
T1067-D1 length=221
T1067-D1 gdt=0.434
57/92: T1068-D1
T1068-D1 tmscore=0.28
T1068-D1 length=191
T1068-D1 gdt=0.223
58/92: T1070-D1
T1070-D1 tmscore=0.392
T1070-D1 length=76
T1070-D1 gdt=0.414
59/92: T1070-D2
T1070-D2 tmscore=0.606
T1070-D2 length=101
T1070-D2 gdt=0.554
60/92: T1070-D3
T1070-D3 tmscore=0.634
T1070-D3 length=76
T1070-D3 gdt=0.645
61/92: T1070-D4
T1070-D4 tmscore=0.741
T1070-D4 length=68
T1070-D4 gdt=0.768
62/92: T1073-D1
T1073-D1 tmscore=0.755
T1073-D1 length=59
T1073-D1 gdt=0.831
63/92: T1074-D1
T1074-D1 tmscore=0.424
T1074-D1 length=132
T1074-D1 gdt=0.33
64/92: T1076-D1
T1076-D1 tmscore=0.481
T1076-D1 length=540
T1076-D1 gdt=0.331
65/92: T1078-D1
T1078-D1 tmscore=0.487
T1078-D1 length=129
T1078-D1 gdt=0.428
66/92: T1079-D1
T1079-D1 tmscore=0.253
T1079-D1 length=451
T1079-D1 gdt=0.132
67/92: T1080-D1
T1080-D1 tmscore=0.266
T1080-D1 length=133
T1080-D1 gdt=0.205
68/92: T1082-D1
T1082-D1 tmscore=0.445
T1082-D1 length=75
T1082-D1 gdt=0.487
69/92: T1083-D1
T1083-D1 tmscore=0.798
T1083-D1 length=92
T1083-D1 gdt=0.81
70/92: T1084-D1
T1084-D1 tmscore=0.812
T1084-D1 length=71
T1084-D1 gdt=0.859
71/92: T1087-D1
T1087-D1 tmscore=0.766
T1087-D1 length=93
T1087-D1 gdt=0.777
72/92: T1089-D1
T1089-D1 tmscore=0.643
T1089-D1 length=377
T1089-D1 gdt=0.483
73/92: T1090-D1
T1090-D1 tmscore=0.204
T1090-D1 length=191
T1090-D1 gdt=0.135
74/92: T1091-D1
T1091-D1 tmscore=0.753
T1091-D1 length=139
T1091-D1 gdt=0.676
75/92: T1091-D2
T1091-D2 tmscore=0.307
T1091-D2 length=107
T1091-D2 gdt=0.285
76/92: T1091-D3
T1091-D3 tmscore=0.829
T1091-D3 length=106
T1091-D3 gdt=0.8
77/92: T1091-D4
T1091-D4 tmscore=0.9
T1091-D4 length=112
T1091-D4 gdt=0.877
78/92: T1092-D1
T1092-D1 tmscore=0.567
T1092-D1 length=245
T1092-D1 gdt=0.39
79/92: T1092-D2
T1092-D2 tmscore=0.8
T1092-D2 length=181
T1092-D2 gdt=0.659
80/92: T1093-D1
T1093-D1 tmscore=0.259
T1093-D1 length=141
T1093-D1 gdt=0.206
81/92: T1093-D2
T1093-D2 tmscore=0.218
T1093-D2 length=382
T1093-D2 gdt=0.098
82/92: T1093-D3
T1093-D3 tmscore=0.304
T1093-D3 length=106
T1093-D3 gdt=0.257
83/92: T1094-D1
T1094-D1 tmscore=0.266
T1094-D1 length=277
T1094-D1 gdt=0.175
84/92: T1094-D2
T1094-D2 tmscore=0.293
T1094-D2 length=207
T1094-D2 gdt=0.2
85/92: T1095-D1
T1095-D1 tmscore=0.142
T1095-D1 length=649
T1095-D1 gdt=0.024
86/92: T1096-D1
T1096-D1 tmscore=0.386
T1096-D1 length=255
T1096-D1 gdt=0.248
87/92: T1096-D2
T1096-D2 tmscore=0.303
T1096-D2 length=171
T1096-D2 gdt=0.218
88/92: T1099-D1
T1099-D1 tmscore=0.949
T1099-D1 length=178
T1099-D1 gdt=0.903
89/92: T1100-D1
T1100-D1 tmscore=0.505
T1100-D1 length=171
T1100-D1 gdt=0.464
90/92: T1100-D2
T1100-D2 tmscore=0.214
T1100-D2 length=166
T1100-D2 gdt=0.134
91/92: T1101-D1
T1101-D1 tmscore=0.855
T1101-D1 length=83
T1101-D1 gdt=0.858
92/92: T1101-D2
T1101-D2 tmscore=0.768
T1101-D2 length=224
T1101-D2 gdt=0.599
        TM-score  Length     GDT-TS
count  92.000000     0.0  92.000000
mean    0.591283     NaN   0.531870
std     0.270404     NaN   0.296434
min     0.142000     NaN   0.016000
25%     0.334750     NaN   0.256000
50%     0.609000     NaN   0.522000
75%     0.843000     NaN   0.819750
max     0.989000     NaN   0.992000
