92 <- #Model:106, #Native structure:93
1/92: T1024-D1
T1024-D1 tmscore=0.983
T1024-D1 length=193
T1024-D1 gdt=0.984
2/92: T1024-D2
T1024-D2 tmscore=0.992
T1024-D2 length=204
T1024-D2 gdt=0.991
3/92: T1025-D1
T1025-D1 tmscore=0.964
T1025-D1 length=257
T1025-D1 gdt=0.938
4/92: T1026-D1
T1026-D1 tmscore=0.968
T1026-D1 length=146
T1026-D1 gdt=0.961
5/92: T1027-D1
T1027-D1 tmscore=0.242
T1027-D1 length=99
T1027-D1 gdt=0.283
6/92: T1028-D1
T1028-D1 tmscore=0.681
T1028-D1 length=292
T1028-D1 gdt=0.561
7/92: T1029-D1
T1029-D1 tmscore=0.944
T1029-D1 length=125
T1029-D1 gdt=0.94
8/92: T1030-D1
T1030-D1 tmscore=0.91
T1030-D1 length=154
T1030-D1 gdt=0.864
9/92: T1030-D2
T1030-D2 tmscore=0.866
T1030-D2 length=119
T1030-D2 gdt=0.859
10/92: T1031-D1
T1031-D1 tmscore=0.947
T1031-D1 length=95
T1031-D1 gdt=0.955
11/92: T1032-D1
T1032-D1 tmscore=0.867
T1032-D1 length=170
T1032-D1 gdt=0.747
12/92: T1033-D1
T1033-D1 tmscore=0.909
T1033-D1 length=100
T1033-D1 gdt=0.875
13/92: T1034-D1
T1034-D1 tmscore=0.987
T1034-D1 length=156
T1034-D1 gdt=0.994
14/92: T1035-D1
T1035-D1 tmscore=0.922
T1035-D1 length=102
T1035-D1 gdt=0.909
15/92: T1036s1-D1
T1036s1-D1 tmscore=0.353
T1036s1-D1 length=621
T1036s1-D1 gdt=0.26
16/92: T1037-D1
T1037-D1 tmscore=0.481
T1037-D1 length=404
T1037-D1 gdt=0.297
17/92: T1038-D1
T1038-D1 tmscore=0.943
T1038-D1 length=114
T1038-D1 gdt=0.947
18/92: T1038-D2
T1038-D2 tmscore=0.854
T1038-D2 length=76
T1038-D2 gdt=0.865
19/92: T1039-D1
T1039-D1 tmscore=0.93
T1039-D1 length=161
T1039-D1 gdt=0.866
20/92: T1040-D1
T1040-D1 tmscore=0.453
T1040-D1 length=130
T1040-D1 gdt=0.39
21/92: T1041-D1
T1041-D1 tmscore=0.978
T1041-D1 length=242
T1041-D1 gdt=0.948
22/92: T1042-D1
T1042-D1 tmscore=0.704
T1042-D1 length=276
T1042-D1 gdt=0.602
23/92: T1043-D1
T1043-D1 tmscore=0.941
T1043-D1 length=148
T1043-D1 gdt=0.9
24/92: T1045s1-D1
T1045s1-D1 tmscore=0.954
T1045s1-D1 length=154
T1045s1-D1 gdt=0.925
25/92: T1045s2-D1
T1045s2-D1 tmscore=0.748
T1045s2-D1 length=166
T1045s2-D1 gdt=0.643
26/92: T1046s1-D1
T1046s1-D1 tmscore=0.512
T1046s1-D1 length=72
T1046s1-D1 gdt=0.517
27/92: T1046s2-D1
T1046s2-D1 tmscore=0.984
T1046s2-D1 length=140
T1046s2-D1 gdt=0.991
28/92: T1047s1-D1
T1047s1-D1 tmscore=0.348
T1047s1-D1 length=211
T1047s1-D1 gdt=0.265
29/92: T1047s2-D1
T1047s2-D1 tmscore=0.215
T1047s2-D1 length=147
T1047s2-D1 gdt=0.174
30/92: T1047s2-D2
T1047s2-D2 tmscore=0.594
T1047s2-D2 length=83
T1047s2-D2 gdt=0.645
31/92: T1047s2-D3
T1047s2-D3 tmscore=0.261
T1047s2-D3 length=116
T1047s2-D3 gdt=0.274
32/92: T1049-D1
T1049-D1 tmscore=0.943
T1049-D1 length=134
T1049-D1 gdt=0.931
33/92: T1050-D1
T1050-D1 tmscore=0.657
T1050-D1 length=321
T1050-D1 gdt=0.484
34/92: T1050-D2
T1050-D2 tmscore=0.744
T1050-D2 length=316
T1050-D2 gdt=0.623
35/92: T1050-D3
T1050-D3 tmscore=0.816
T1050-D3 length=128
T1050-D3 gdt=0.758
36/92: T1052-D1
T1052-D1 tmscore=0.423
T1052-D1 length=539
T1052-D1 gdt=0.326
37/92: T1052-D2
T1052-D2 tmscore=0.719
T1052-D2 length=213
T1052-D2 gdt=0.589
38/92: T1052-D3
T1052-D3 tmscore=0.625
T1052-D3 length=80
T1052-D3 gdt=0.644
39/92: T1053-D1
T1053-D1 tmscore=0.199
T1053-D1 length=405
T1053-D1 gdt=0.075
40/92: T1053-D2
T1053-D2 tmscore=0.418
T1053-D2 length=171
T1053-D2 gdt=0.329
41/92: T1054-D1
T1054-D1 tmscore=0.458
T1054-D1 length=143
T1054-D1 gdt=0.423
42/92: T1055-D1
T1055-D1 tmscore=0.43
T1055-D1 length=122
T1055-D1 gdt=0.385
43/92: T1056-D1
T1056-D1 tmscore=0.641
T1056-D1 length=169
T1056-D1 gdt=0.574
44/92: T1057-D1
T1057-D1 tmscore=0.863
T1057-D1 length=246
T1057-D1 gdt=0.734
45/92: T1058-D1
T1058-D1 tmscore=0.282
T1058-D1 length=221
T1058-D1 gdt=0.18
46/92: T1058-D2
T1058-D2 tmscore=0.431
T1058-D2 length=161
T1058-D2 gdt=0.38
47/92: T1060s2-D1
T1060s2-D1 tmscore=0.404
T1060s2-D1 length=297
T1060s2-D1 gdt=0.282
48/92: T1060s3-D1
T1060s3-D1 tmscore=0.194
T1060s3-D1 length=137
T1060s3-D1 gdt=0.161
49/92: T1061-D0
T1061-D0 tmscore=0.156
T1061-D0 length=838
T1061-D0 gdt=0.024
50/92: T1061-D1
T1061-D1 tmscore=0.327
T1061-D1 length=464
T1061-D1 gdt=0.163
51/92: T1061-D2
T1061-D2 tmscore=0.375
T1061-D2 length=271
T1061-D2 gdt=0.219
52/92: T1061-D3
T1061-D3 tmscore=0.683
T1061-D3 length=103
T1061-D3 gdt=0.699
53/92: T1064-D1
T1064-D1 tmscore=0.217
T1064-D1 length=92
T1064-D1 gdt=0.223
54/92: T1065s1-D1
T1065s1-D1 tmscore=0.539
T1065s1-D1 length=119
T1065s1-D1 gdt=0.483
55/92: T1065s2-D1
T1065s2-D1 tmscore=0.835
T1065s2-D1 length=98
T1065s2-D1 gdt=0.829
56/92: T1067-D1
T1067-D1 tmscore=0.583
T1067-D1 length=221
T1067-D1 gdt=0.465
57/92: T1068-D1
T1068-D1 tmscore=0.304
T1068-D1 length=191
T1068-D1 gdt=0.233
58/92: T1070-D1
T1070-D1 tmscore=0.361
T1070-D1 length=76
T1070-D1 gdt=0.378
59/92: T1070-D2
T1070-D2 tmscore=0.633
T1070-D2 length=101
T1070-D2 gdt=0.592
60/92: T1070-D3
T1070-D3 tmscore=0.668
T1070-D3 length=76
T1070-D3 gdt=0.674
61/92: T1070-D4
T1070-D4 tmscore=0.739
T1070-D4 length=68
T1070-D4 gdt=0.768
62/92: T1073-D1
T1073-D1 tmscore=0.762
T1073-D1 length=59
T1073-D1 gdt=0.839
63/92: T1074-D1
T1074-D1 tmscore=0.384
T1074-D1 length=132
T1074-D1 gdt=0.326
64/92: T1076-D1
T1076-D1 tmscore=0.475
T1076-D1 length=540
T1076-D1 gdt=0.362
65/92: T1078-D1
T1078-D1 tmscore=0.542
T1078-D1 length=129
T1078-D1 gdt=0.469
66/92: T1079-D1
T1079-D1 tmscore=0.267
T1079-D1 length=451
T1079-D1 gdt=0.162
67/92: T1080-D1
T1080-D1 tmscore=0.208
T1080-D1 length=133
T1080-D1 gdt=0.15
68/92: T1082-D1
T1082-D1 tmscore=0.449
T1082-D1 length=75
T1082-D1 gdt=0.487
69/92: T1083-D1
T1083-D1 tmscore=0.822
T1083-D1 length=92
T1083-D1 gdt=0.84
70/92: T1084-D1
T1084-D1 tmscore=0.821
T1084-D1 length=71
T1084-D1 gdt=0.87
71/92: T1087-D1
T1087-D1 tmscore=0.78
T1087-D1 length=93
T1087-D1 gdt=0.801
72/92: T1089-D1
T1089-D1 tmscore=0.625
T1089-D1 length=377
T1089-D1 gdt=0.468
73/92: T1090-D1
T1090-D1 tmscore=0.186
T1090-D1 length=191
T1090-D1 gdt=0.13
74/92: T1091-D1
T1091-D1 tmscore=0.725
T1091-D1 length=139
T1091-D1 gdt=0.646
75/92: T1091-D2
T1091-D2 tmscore=0.262
T1091-D2 length=107
T1091-D2 gdt=0.227
76/92: T1091-D3
T1091-D3 tmscore=0.829
T1091-D3 length=106
T1091-D3 gdt=0.8
77/92: T1091-D4
T1091-D4 tmscore=0.906
T1091-D4 length=112
T1091-D4 gdt=0.891
78/92: T1092-D1
T1092-D1 tmscore=0.566
T1092-D1 length=245
T1092-D1 gdt=0.392
79/92: T1092-D2
T1092-D2 tmscore=0.734
T1092-D2 length=181
T1092-D2 gdt=0.617
80/92: T1093-D1
T1093-D1 tmscore=0.251
T1093-D1 length=141
T1093-D1 gdt=0.207
81/92: T1093-D2
T1093-D2 tmscore=0.223
T1093-D2 length=382
T1093-D2 gdt=0.135
82/92: T1093-D3
T1093-D3 tmscore=0.316
T1093-D3 length=106
T1093-D3 gdt=0.274
83/92: T1094-D1
T1094-D1 tmscore=0.288
T1094-D1 length=277
T1094-D1 gdt=0.173
84/92: T1094-D2
T1094-D2 tmscore=0.191
T1094-D2 length=207
T1094-D2 gdt=0.124
85/92: T1095-D1
T1095-D1 tmscore=0.141
T1095-D1 length=649
T1095-D1 gdt=0.035
86/92: T1096-D1
T1096-D1 tmscore=0.371
T1096-D1 length=255
T1096-D1 gdt=0.227
87/92: T1096-D2
T1096-D2 tmscore=0.335
T1096-D2 length=171
T1096-D2 gdt=0.25
88/92: T1099-D1
T1099-D1 tmscore=0.939
T1099-D1 length=178
T1099-D1 gdt=0.885
89/92: T1100-D1
T1100-D1 tmscore=0.575
T1100-D1 length=171
T1100-D1 gdt=0.501
90/92: T1100-D2
T1100-D2 tmscore=0.242
T1100-D2 length=166
